Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470pF,C_0805_2012Metric,31.132,12.7,90,top
C2,1uF,C_0805_2012Metric,24.638,8.4429,180,top
C3,10uF,CP_Elec_4x5.4,26.035,12.8879,180,top
C4,22pF,C_0805_2012Metric,25.527,17.9679,-90,top
C5,22pF,C_0805_2012Metric,21.336,8.4429,-90,top
C6,22pF,C_0805_2012Metric,21.336,12.8879,-90,top
C7,100nF,C_0805_2012Metric,18.542,17.9679,-90,top
C8,4.7nF,C_0805_2012Metric,18.669,8.4429,-90,top
C9,4.7nF,C_0805_2012Metric,18.669,12.8879,-90,top
C10,100nF,C_0805_2012Metric,40.386,9.144,0,top
D1,MMSZ5239B-7-F,D_SOD-123,32.894,18.034,180,top
D2,MMSZ5239B-7-F,D_SOD-123,32.91,8.3159,180,top
J1,54602-908LF,RJ45_Amphenol_54602-x08_Horizontal,12.72,17.145,-90,top
L1,33uH,L_1008_2520Metric,22.098,17.8409,0,top
R1,2.2k,R_0805_2012Metric,28.067,8.4429,90,top
R2,2.2k,R_0805_2012Metric,27.813,17.9679,90,top
S1,1-1825027-1,SW_1-1825027-1,40.64,3.302,0,top
