Item,Qty,Reference(s),Value,LibPart,Footprint,Digikey PN,LCSC,MPN,Manufacturer
1,1,C1,470pF,Device:C,Capacitor_SMD:C_0805_2012Metric,478-1324-1-ND,C1743,08055A471JAT2A,KYOCERA AVX
2,1,C2,1uF,Device:C,Capacitor_SMD:C_0805_2012Metric,478-5034-1-ND,C28323,0805YC105KAT2A,KYOCERA AVX
3,1,C3,10uF,Device:C_Polarized_US,Capacitor_SMD:CP_Elec_4x5.4,493-2173-1-ND,C445074,UWT1C100MCL1GB,Nichicon
4,3,"C4, C5, C6",22pF,Device:C,Capacitor_SMD:C_0805_2012Metric,478-1308-1-ND,C1804,08055A220JAT2A,KYOCERA AVX
5,2,"C7, C10",100nF,Device:C,Capacitor_SMD:C_0805_2012Metric,478-10836-1-ND,C28233,08055C104KAT4A,KYOCERA AVX
6,2,"C8, C9",4.7nF,Device:C,Capacitor_SMD:C_0805_2012Metric,478-08055C472K4T4ACT-ND,C1744,08055C472K4T4A,KYOCERA AVX
7,2,"D1, D2",MMSZ5239B-7-F,Device:D_Zener_Filled,Diode_SMD:D_SOD-123,MMSZ5239B-FDICT-ND,C459546,MMSZ5239B-7-F,Diodes Incorporated
8,4,"H1, H2, H3, H4",M2,Mechanical:MountingHole_Pad,MountingHole:MountingHole_2.2mm_M2_Pad,,,,
9,1,J1,54602-908LF,Connector:8P8C,Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal,609-1046-ND,N/A,54602-908LF,Amphenol ICC (FCI)
10,1,L1,33uH,Device:L,Inductor_SMD:L_1008_2520Metric,445-16476-1-ND,C295130,NLV25T-330J-EF,TDK Corporation
11,1,MK1,EM6022P,Device:Microphone_Condenser,Xiegu MiniMic:EM6022P,433-1088-ND,N/A,EM-6022P,Soberton Inc.
12,2,"R1, R2",2.2k,Device:R,Resistor_SMD:R_0805_2012Metric,A106060CT-ND,C2073912,CRG0805F2K2,TE Connectivity Passive Product
13,1,S1,1-1825027-1,Xiegu MiniMic:1-1825027-1,Xiegu MiniMic:SW_1-1825027-1,450-1658-ND,C266183,1-1825027-1,TE Connectivity ALCOSWITCH Switches
